date,state,positive,posNeg
20200619,OK,9706.0,274578
20200619,OR,6572.0,193917
20200619,PA,80762.0,637218
20200619,RI,16337.0,214589
20200619,SC,22631.0,288300
20200619,SD,6158.0,71193
20200619,TN,34017.0,661689
20200619,TX,103305.0,1423914
20200619,UT,16425.0,287358
20200619,VA,56793.0,512411
20200619,VT,1144.0,55887
20200619,WA,28666.0,474462
20200619,WI,26913.0,471664
20200619,WV,2435.0,146014
20200619,WY,1173.0,36474
20200618,AK,708.0,81185
20200618,AL,28206.0,322534
20200618,AR,13928.0,228434
20200618,AZ,43443.0,379732
20200618,CA,161099.0,3074530
20200618,CO,29673.0,262216
20200618,CT,45440.0,372585
20200618,DE,10499.0,88684
20200618,FL,85926.0,1511312
20200618,GA,60912.0,663204
20200618,HI,744.0,64374
20200618,IA,24854.0,240931
20200618,ID,3632.0,68012
20200618,IL,135639.0,1284693
20200618,IN,41438.0,384722
20200618,KS,11681.0,142124
20200618,KY,13197.0,306380
20200618,LA,48634.0,545221
20200618,MA,106422.0,741260
20200618,MD,63229.0,447608
20200618,ME,2878.0,74060
20200618,MI,66798.0,850186
20200618,MN,31675.0,460879
20200618,MO,16908.0,297342
20200618,MS,20641.0,238715
20200618,MT,655.0,66870
20200618,NC,48188.0,693678
20200618,ND,3193.0,90654
20200618,NE,17226.0,144813
20200618,NH,5436.0,101984
20200618,NJ,168107.0,1171734
20200618,NM,10065.0,275897
20200618,NV,12076.0,230796
20200618,NY,385760.0,3179660
20200618,OH,43122.0,600024
20200618,OK,9354.0,269553
20200618,OR,6366.0,189136
20200618,PA,80236.0,624068
20200618,RI,16269.0,211593
20200618,SC,21548.0,280523
20200618,SD,6109.0,70353
20200618,TN,32829.0,652394
20200618,TX,99851.0,1407741
20200618,UT,15839.0,282685
20200618,VA,56238.0,502068
20200618,VT,1135.0,54745
20200618,WA,28575.0,470043
20200618,WI,26590.0,460503
20200618,WV,2418.0,144429
20200618,WY,1144.0,36154
20200617,AK,696.0,77709
20200617,AL,27312.0,310723
20200617,AR,13606.0,220699
20200617,AZ,40924.0,366193
20200617,CA,157015.0,2997988
20200617,CO,29442.0,256667
20200617,CT,45429.0,367858
20200617,DE,10444.0,86587
20200617,FL,82719.0,1485759
20200617,GA,60030.0,650467
20200617,HI,740.0,63243
20200617,IA,24461.0,235131
20200617,ID,3540.0,66784
20200617,IL,135046.0,1259189
20200617,IN,41013.0,371182
20200617,KS,11681.0,142124
20200617,KY,12995.0,299869
20200617,LA,48634.0,545221
20200617,MA,106151.0,732046
20200617,MD,62969.0,441343
20200617,ME,2836.0,74018
